"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";"PRECIO";"STOCK";"PESO";"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA";"CANONLPI";"PRECIOSINCANON"
"COO-SCA2533-R";"Coolbox Caja HDD 2.5"" SCA2533 Retro USB3.0";"AAACEM0024";"8436556142048";"AA";"Accesorios Almacenamiento";"CEM";"Cajas Externas Multimedia";"01690";"CoolBox";"5,9700000000";"34";"0,1200000000";"";"";"0,0000000000";"0,0000000000";"5,9700000000"
"TQE-2510B";"TooQ TQE-2510B caja HD 2.5"" SATA USB 2.0 Negra";"AAACET0016";"8433281000094";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"4,0400000000";"7";"0,1950000000";"";"";"0,0000000000";"0,0000000000";"4,0400000000"
"TQE-3520B";"TooQ TQE-3520B caja externa HD 3.5""IDE/SATA3 Negra";"AAACET0113";"8433281006577";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"13,9900000000";"7";"0,6700000000";"";"";"0,0000000000";"0,0000000000";"13,9900000000"
"TQE-3509B";"TooQ TQE-3509B caja externa HD 3.5"" SATA3 a USB2.0";"AAACET0115";"8433281005662";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,2400000000";"2";"0,5850000000";"";"Ultimas unidades";"0,0000000000";"0,0000000000";"12,2400000000"
"EW7041";"Ewent EW7041 Carcasa Portátil HD  SATA 2.5"" USB";"AAACET0117";"8716065231205";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"4,3800000000";"14";"0,2200000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"4,3800000000"
"TQDS-802B";"Tooq TQDS-802B Dock Station Doble Bahía HDD Negra";"AAACET0135";"8433281006676";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"19,1500000000";"14";"0,7050000000";"";"";"0,0000000000";"0,0000000000";"19,1500000000"
"TQDS-802BW";"Tooq TQDS-802BW Dock Station Doble Bahía HDD Ne/Bl";"AAACET0136";"8433281006683";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"20,6700000000";"0";"0,7000000000";"";"";"0,0000000000";"0,0000000000";"20,6700000000"
"TQE-2530B";"TooQ TQE-2530B caja HDD 2.5"" SATA3 USB 3.0 Negra";"AAACET0153";"8433281006768";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,5400000000";"0";"0,0800000000";"";"";"0,0000000000";"0,0000000000";"5,5400000000"
"TQE-3530B";"TooQ TQE-3530B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0155";"8433281006782";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"13,3500000000";"7";"0,7500000000";"";"";"0,0000000000";"0,0000000000";"13,3500000000"
"TQE-3527B";"TooQ TQE-3527B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0160";"8433281006867";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,0400000000";"22";"0,3500000000";"";"";"0,0000000000";"0,0000000000";"12,0400000000"
"TQE-2522B";"TooQ TQE-2522B caja HD 2.5"" SATA3 USB 3.0 Negra";"AAACET0181";"8433281007024";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,5500000000";"0";"0,1700000000";"";"";"0,0000000000";"0,0000000000";"5,5500000000"
"EW7044";"Ewent EW7044  Caja externa 2.5"" HD/SSD USB 3.0";"AAACET0183";"8054392610981";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"4,5400000000";"7";"0,2040000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"4,5400000000"
"EW7056";"Ewent EW7056 Caja externa 3.5"" SATA a USB 3.0";"AAACET0184";"8054392610998";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"15,7000000000";"0";"0,5180000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"15,7000000000"
"EW7023";"Ewent EW7023 Caja externa SSD M2 USB 3.1 Aluminio";"AAACET0185";"8056045878663";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"10,9700000000";"0";"0,1770000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"10,9700000000"
"EW7014";"Ewent EW7014 Dock Station Dual 2.5""-3.5"" USB 3.1";"AAACET0186";"8054392611018";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"26,1900000000";"13";"0,7450000000";"";"";"0,0000000000";"0,0000000000";"26,1900000000"
"COO-SCG2543-6";"CoolBox Caja HDD SCG2543 2.5' 3.0 Azul";"AAACET0194";"8436556140532";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"6,8600000000";"0";"0,1000000000";"";"";"0,0000000000";"0,0000000000";"6,8600000000"
"COO-SCG2543-8";"CoolBox Caja HDD 2.5"" SCG2543 GRIS USB3.0 GRIS";"AAACET0197";"8436556140556";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"6,4600000000";"0";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"6,4600000000"
"COO-SCG2543-5";"CoolBox Caja HDD 2.5"" SCG2543 USB 3.0 Azul";"AAACET0199";"8436556140525";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"7,5000000000";"50";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"7,5000000000"
"EW7012";"Ewent EW7012 Dock Station Dual 2.5""-3.5"" USB 3.0";"AAACET0203";"8054392611001";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"17,3800000000";"0";"0,3000000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"17,3800000000"
"COO-DUPLICAT2";"Coolbox Duplicador V2HDD/SSD 3.5""-2.5"" USB3.0";"AAACET0207";"8436556145612";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"27,8200000000";"4";"0,2500000000";"";"";"0,0000000000";"0,0000000000";"27,8200000000"
"TQE-2528B";"Tooq C.Exter TQE-2528B 2,5"" 9,5mm SATA USB 3.1 GEN";"AAACET0211";"8433281008304";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"6,8100000000";"11";"0,2000000000";"";"";"0,0000000000";"0,0000000000";"6,8100000000"
"COO-SCT-2533";"CoolBox Caja HDD 2.5"" SCT-2533 USB3.0 Transparente";"AAACET0216";"8436556148361";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"6,3900000000";"10";"0,1400000000";"";"";"0,0000000000";"0,0000000000";"6,3900000000"
"COO-SCS-2533";"Coolbox Caja SSD 2.5"" SCS-2533 USB 3.0 SLOT-IN";"AAACET0224";"8436556148644";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"6,5300000000";"0";"0,1200000000";"19/12/2023";"";"0,0000000000";"0,0000000000";"6,5300000000"
"DG-HDC2503-BK";"Deepgaming Caja gaming Deepcase HDD 2.5"" USB3.0 Ne";"AAACET0226";"8436556148712";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60433";"DEEPGAMING";"6,1500000000";"46";"0,1490000000";"";"";"0,0000000000";"0,0000000000";"6,1500000000"
"TQE-2533B";"Tooq TQE-2533B Carcasa 2.5"" USB3.1  Gen2Adap USB-C";"AAACET0228";"8433281007888";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"10,4000000000";"0";"0,2000000000";"";"";"0,0000000000";"0,0000000000";"10,4000000000"
"COO-MCM-SATA";"Coolbox Caja SSD M.2 SATA MiniChase S31 USB 3.1";"AAACET0229";"8436556148842";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"11,2300000000";"3";"0,0950000000";"";"";"0,0000000000";"0,0000000000";"11,2300000000"
"COO-MCM-NVME";"Coolbox Caja SSD M.2 NVMe miniChase N31  USB 3.1";"AAACET0230";"8436556148859";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01690";"CoolBox";"18,4500000000";"12";"0,1110000000";"";"";"0,0000000000";"0,0000000000";"18,4500000000"
"TQE-2527BL";"Tooq TQE-2527BL Caja HDD 2.5"" USB 3.1 Gen1/USB 3.0";"AAACET0231";"8433281009639";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,6700000000";"8";"0,1850000000";"";"";"0,0000000000";"0,0000000000";"5,6700000000"
"TQE-2527R";"Tooq TQE-2527R Caja HDD 2.5"" USB 3.1 Gen1/USB 3.0";"AAACET0232";"8433281009653";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,3300000000";"16";"0,1900000000";"";"";"0,0000000000";"0,0000000000";"5,3300000000"
"TQE-2527G";"Tooq TQE-2527G Caja HDD 2.5"" USB 3.1 Gen1/USB 3.0";"AAACET0233";"8433281009646";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,2500000000";"18";"0,1800000000";"";"";"0,0000000000";"0,0000000000";"5,2500000000"
"TQE-2538B";"Tooq TQE-2538B Caja Slim HDD 2.5"" USB 3.1Gen1";"AAACET0234";"8433281009660";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,2000000000";"21";"0,1800000000";"";"";"0,0000000000";"0,0000000000";"5,2000000000"
"APPHDD300B";"approx! APPHDD300B caja HD 2.5"" SATA USB3.0 Negra";"AAACET0235";"8435099526612";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";"6,9700000000";"4";"0,1450000000";"";"";"0,0000000000";"0,0000000000";"6,9700000000"
"TQE-2550RGB";"Tooq TQE-2550RGB Caja 2.5"" USB 3.1Gen1 LED Colores";"AAACET0237";"8433281009684";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"6,8400000000";"12";"0,1800000000";"";"";"0,0000000000";"0,0000000000";"6,8400000000"
"TQE-3531B";"TooQ TQE-3531B Caja HDD 3.5"" USB 3.1Gen1 Negra";"AAACET0238";"8433281009691";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"15,6000000000";"0";"0,6050000000";"";"";"0,0000000000";"0,0000000000";"15,6000000000"
"TQDS-805G";"Tooq TQDS-805G Dock Station Doble Bahía HDD Gris";"AAACET0240";"8433281009622";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"24,7400000000";"18";"0,7920000000";"";"";"0,0000000000";"0,0000000000";"24,7400000000"
"APPHDD200B";"approx! APPHDD200B caja HDD 2.5"" SATA 2.0 Negra";"AAACET0241";"8435099527725";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";"4,8100000000";"6";"0,1450000000";"";"";"0,0000000000";"0,0000000000";"4,8100000000"
"APPHDD200LB";"approx! APPHDD200LB caja HDD 2.5"" SATA 2.0 Azul";"AAACET0242";"8435099527732";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";"4,7900000000";"11";"0,1000000000";"";"";"0,0000000000";"0,0000000000";"4,7900000000"
"APPHDD300R";"approx! APPHDD300R Caja HDD 2.5"" SATA 3.0 Rojo";"AAACET0245";"8435099527763";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";"6,9900000000";"18";"0,1000000000";"";"";"0,0000000000";"0,0000000000";"6,9900000000"
"TQE-2281G";"Tooq Caja Externa para discos SSD M.2 NGFF USB";"AAACET0247";"8433281009929";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"9,3600000000";"9";"0,1730000000";"";"";"0,0000000000";"0,0000000000";"9,3600000000"
"TQE-2280B";"Tooq Caja Externa para SSD M.2 NVMe PCIe";"AAACET0248";"8433281009912";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"13,7500000000";"19";"0,1730000000";"";"";"0,0000000000";"0,0000000000";"13,7500000000"
"IGG317020";"iggual Caja externa USB-C 3.1 SSD M.2 NVMe y SATA";"AAACET0249";"8435364317020";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60001";"iggual";"16,1000000000";"100";"0,1500000000";"01/02/2024";"";"0,0000000000";"0,0000000000";"16,1000000000"
"IGG317006";"iggual Caja externa aluminio SSD 2.5"" SATA USB 3.0";"AAACET0250";"8435364317006";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60001";"iggual";"5,1000000000";"100";"0,2000000000";"11/01/2024";"";"0,0000000000";"0,0000000000";"5,1000000000"
"EW7019";"Ewent Adaptador IDE/SATA USB a 2,5"" - 3,5""";"AAACET0251";"8054392619298";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"16,5000000000";"4";"0,3350000000";"";"";"0,0000000000";"0,0000000000";"16,5000000000"
"TQE-2527P";"Tooq TQE-2527P Caja HDD 2.5"" USB 3.1 Gen1/USB 3.0";"AAACET0254";"8433281010208";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,2000000000";"0";"0,1800000000";"";"";"0,0000000000";"0,0000000000";"5,2000000000"
"TQE-2527PB";"Tooq TQE-2527PB Caja HDD 2.5"" USB 3.1 Gen1/USB 3.0";"AAACET0255";"8433281010222";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,3100000000";"0";"0,8000000000";"";"";"0,0000000000";"0,0000000000";"5,3100000000"
"TQE-2221G";"Tooq Caja Externa SSD M.2 NGFF/NVMe USB-A Gris";"AAACET0256";"8433281011366";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"16,3000000000";"9";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"16,3000000000"
"TQE-2222B";"Tooq Caja Externa SSD M.2 NGFF/NVMe USB-C Negro";"AAACET0257";"8433281011373";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"17,7500000000";"6";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"17,7500000000"
"TQHDA-01A";"Tooq Adaptador USB 3.0 para discos 2,5""/3,5""";"AAACET0258";"8433281011380";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"10,2000000000";"2";"0,2300000000";"";"";"0,0000000000";"0,0000000000";"10,2000000000"
"DG-MCM-NVME1";"DEEPGAMING Caja externa SSD M.2 Nvme";"AAACET0260";"8436556141072";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60433";"DEEPGAMING";"17,4600000000";"1";"0,1100000000";"";"";"0,0000000000";"0,0000000000";"17,4600000000"
"TQE-2223B";"Tooq Caja Externa SSD M.2 NGFF/NVMe USB-C Negro";"AAACET0261";"8433281011427";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"18,7500000000";"10";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"18,7500000000"
"TQE-2223G";"Tooq Caja Externa SSD M.2 NGFF/NVMe USB-C Gris";"AAACET0262";"8433281011434";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"17,5000000000";"0";"0,1350000000";"";"";"0,0000000000";"0,0000000000";"17,5000000000"
"64069";"Delock Convertidor para M.2 NVMe PCIe SSD con USB";"AAACET0264";"4043619640690";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60108";"DELOCK";"36,4600000000";"6";"0,0350000000";"";"";"0,0000000000";"0,0000000000";"36,4600000000"
"EW7025";"EWENT CARCASA PCIe SSD/USB-C  3.2 GEN2 M.2 NVMe";"AAACET0266";"8056045876409";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"17,6700000000";"16";"0,1000000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"17,6700000000"
"TQE-2200";"Tooq Caja Externa SSD M.2 NGFF/NVMe Transparente";"AAACET0267";"8433281013209";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"16,4000000000";"14";"0,1050000000";"";"";"0,0000000000";"0,0000000000";"16,4000000000"
"TQE-2500B";"Tooq Caja externa 2,5"" SATA USB3.1 Gen1 Negra";"AAACET0268";"8433281013544";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"4,5900000000";"47";"0,1100000000";"";"";"0,0000000000";"0,0000000000";"4,5900000000"
"TQE-2503G";"Tooq Caja externa 2,5"" SATA USB3.1 Gen1 Gris";"AAACET0269";"8433281013551";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"5,2900000000";"20";"0,1300000000";"";"";"0,0000000000";"0,0000000000";"5,2900000000"
"EW7049";"EWENT CAJA HDD/SDD SATA 2.5 SIN TORNILLOS USB 3.2";"AAACET0270";"8052101431858";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";"4,4100000000";"0";"0,0400000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"4,4100000000"
"TQE-2201B";"Tooq Caja Externa M.2 NVMe USB3.1 GEN2 Negra";"AAACET0271";"8433281013926";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,8700000000";"16";"0,1150000000";"";"";"0,0000000000";"0,0000000000";"12,8700000000"
"TQE-2201BL";"Tooq Caja Externa M.2 NVMe USB3.1 GEN2 Azul";"AAACET0272";"8433281013933";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,8700000000";"10";"0,1333000000";"";"";"0,0000000000";"0,0000000000";"12,8700000000"
"TQE-2201R";"Tooq Caja Externa M.2 NVMe USB3.1 GEN2 Roja";"AAACET0273";"8433281013940";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"12,8700000000";"13";"0,1333000000";"";"";"0,0000000000";"0,0000000000";"12,8700000000"
"TQE-2202BR";"Tooq Caja Externa M.2 NGFF USB3.1 GEN1 Marrón";"AAACET0274";"8433281013957";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"8,1700000000";"2";"0,1150000000";"";"";"0,0000000000";"0,0000000000";"8,1700000000"
"TQE-2202S";"Tooq Caja Externa M.2 NGFF USB3.1 GEN1 Plata";"AAACET0275";"8433281013964";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";"8,1700000000";"11";"0,1333000000";"";"";"0,0000000000";"0,0000000000";"8,1700000000"
"64183";"Delock Base dual USB para 2 x SATA HDD / SSD";"AAACET0276";"4043619641833";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60108";"DELOCK";"47,9300000000";"0";"0,7350000000";"";"Ultimas unidades";"0,0000000000";"0,0000000000";"47,9300000000"
"42638";"Delock Caja Combo M.2 NVMe PCIe o SATA SSD";"AAACET0277";"4043619426386";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"60108";"DELOCK";"38,3200000000";"3";"0,1450000000";"";"Encargo";"15,0000000000";"0,0000000000";"38,3200000000"
"TQBC-E2501";"Tooq Funda resistente disco duro de 2,5"" Negro";"AAAFDD0013";"8433281007550";"AA";"Accesorios Almacenamiento";"FDD";"Fundas Discos Duros Externos";"01590";"TooQ";"3,0200000000";"27";"0,0900000000";"";"";"0,0000000000";"0,0000000000";"3,0200000000"
"9102 (PU)";"RIVACASE 9102 Davos Funda Disco Duro y GPS negro";"AAAFDD0014";"6902201091020";"AA";"Accesorios Almacenamiento";"FDD";"Fundas Discos Duros Externos";"60440";"RIVACASE";"4,1900000000";"17";"0,0950000000";"";"";"0,0000000000";"0,0000000000";"4,1900000000"
"TQBC-E2503PB";"Tooq Funda resistente disco duro 2,5"" Azul Pacif.";"AAAFDD0016";"8433281012165";"AA";"Accesorios Almacenamiento";"FDD";"Fundas Discos Duros Externos";"01590";"TooQ";"3,4000000000";"0";"0,1050000000";"";"";"0,0000000000";"0,0000000000";"3,4000000000"
"MailPlus 5 Licenses";"SYNOLOGY MailPlus License Pack 5";"AAALIE0002";"4711174722365";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"221,0000000000";"0";"0,0150000000";"";"Encargo";"10,0000000000";"0,0000000000";"221,0000000000"
"MailPlus 20 Licenses";"SYNOLOGY MailPlus License Pack 20";"AAALIE0003";"4711174722372";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"874,0000000000";"0";"0,0100000000";"";"Encargo";"10,0000000000";"0,0000000000";"874,0000000000"
"VMMPRO-3NODE-S1Y";"SYNOLOGY Virtual Machine Manager 3NODE-S1Y";"AAALIE0004";"4711174723256";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"136,0000000000";"0";"0,0100000000";"";"Encargo";"10,0000000000";"0,0000000000";"136,0000000000"
"VMMPRO-7NODE-S1Y";"SYNOLOGY Virtual Machine Manager 7NODE-S1Y";"AAALIE0005";"4711174723263";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"274,0000000000";"0";"0,0100000000";"";"Encargo";"10,0000000000";"0,0000000000";"274,0000000000"
"VMMPRO-3NODE-S3Y";"SYNOLOGY Virtual Machine Manager 3NODE-S3Y";"AAALIE0006";"4711174723409";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"365,0000000000";"0";"0,0100000000";"";"Encargo";"10,0000000000";"0,0000000000";"365,0000000000"
"VMMPRO-7NODE-S3Y";"SYNOLOGY Virtual Machine Manager 7NODE-S3Y";"AAALIE0007";"4711174723416";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"730,0000000000";"0";"0,0100000000";"";"Encargo";"10,0000000000";"0,0000000000";"730,0000000000"
"Virtual DSM";"SYNOLOGY Virtual DSM License";"AAALIE0008";"2530011917069";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"136,0000000000";"0";"0,0010000000";"";"Encargo";"10,0000000000";"0,0000000000";"136,0000000000"
"VIRTUAL LICENSE X1";"Synology Licencia Virtual (x1) Surveillance/Mail";"AAALIE0009";"0711174720279";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"38,0000000000";"0";"0,0010000000";"";"Encargo";"15,0000000000";"0,0000000000";"38,0000000000"
"VIRTUAL LICENSE X4";"Synology Licencia Virtual (x4) Surveillance/Mail";"AAALIE0010";"0711174720293";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"144,0000000000";"0";"0,0010000000";"";"Encargo";"15,0000000000";"0,0000000000";"144,0000000000"
"VIRTUAL LICENSE X8";"Synology Licencia Virtual (x8) Surveillance/Mail";"AAALIE0011";"0711174721801";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"261,0000000000";"0";"0,0010000000";"";"Encargo";"15,0000000000";"0,0000000000";"261,0000000000"
"MailPlus 5 Virtual";"Synology MailPlus Virtual License Pack 5";"AAALIE0012";"846504002368";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"221,0000000000";"0";"0,0010000000";"";"Encargo";"5,0000000000";"0,0000000000";"221,0000000000"
"MailPlus 20 Virtual";"Synology MailPlus Virtual License Pack 20";"AAALIE0013";"846504002375";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"874,0000000000";"0";"0,0100000000";"";"Encargo";"5,0000000000";"0,0000000000";"874,0000000000"
"C2 Backup License";"Synology C2 Backup License 500GB (1 año)";"AAALIE0014";"4711174724864";"AA";"Accesorios Almacenamiento";"LIE";"Licencias";"60158";"Synology";"32,8000000000";"1";"0,0500000000";"";"Ultimas unidades";"0,0000000000";"0,0000000000";"32,8000000000"
"EW1241";"Ewent Cable Seguridad con combinacion";"AAOAAC0046";"8056045875372";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";"3,3500000000";"2";"0,1250000000";"";"";"0,0000000000";"0,0000000000";"3,3500000000"
"EW1242";"EWENT EW1242 Cable de Seguridad con llave";"AAOAAC0055";"8054392610370";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";"3,0000000000";"12";"0,1000000000";"";"";"0,0000000000";"0,0000000000";"3,0000000000"
"EW9643";"EWENT EW9643 Adap.USB 3.1 Tipo A H/ USB 3.1 Tipo C";"AAOAAC0057";"8056045878311";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";"2,3500000000";"0";"0,1000000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"2,3500000000"
"COO-CAB-U2MC-BL";"Coolbox Cable MULTIUSB MICRO/C Azul";"AAOAAC0065";"8436556145919";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"01690";"CoolBox";"4,0700000000";"17";"0,0500000000";"";"";"0,0000000000";"0,0000000000";"4,0700000000"
"COO-CAB-U2MC-GR";"Coolbox Cable MULTIUSB MICRO/C Gris";"AAOAAC0066";"8436556145902";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"01690";"CoolBox";"4,0200000000";"24";"0,0500000000";"";"";"0,0000000000";"0,0000000000";"4,0200000000"
"LK-CL-01";"Gembird Cable de Seguridad Portátiles (4 dígitos)";"AAOAAC0087";"8716309087100";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60135";"GEMBIRD";"1,8900000000";"0";"0,1550000000";"02/01/2024";"";"0,0000000000";"0,0000000000";"1,8900000000"
"IM1042";"Ewent Latiguillo Categoria 6U/UTP Slim 0,25 M";"AAOAAC0095";"8054392618611";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";"0,9400000000";"20";"0,0100000000";"20/12/2023";"";"0,0000000000";"0,0000000000";"0,9400000000"
"8212001";"Fellowes Soporte elevador para el portátil I-Spire";"AAOAAC0099";"043859706792";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60336";"Fellowes";"14,9400000000";"9";"1,0800000000";"";"";"0,0000000000";"0,0000000000";"14,9400000000"
"EW1376";"EWENT 3 EN 1, USB-A a Lightning, USB-C y Micro-USB";"AAOAAC0101";"8054392618123";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";"4,7700000000";"10";"0,0280000000";"";"";"0,0000000000";"0,0000000000";"4,7700000000"
